 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.845E-5,92.051,0.000,158,0.143,0.004,0.031,0.139,8.226E-4,0.007,0.007,0.007,0.005,129.422,0.365,0.009,0.003,103.000,-0.494,-0.985,100,313526.000,0.139,0.003,151.783,0.006,1.385,0.722,0.823
2,8.651E-5,116.063,23.000,158,0.244,0.006,0.078,0.238,8.226E-4,0.011,0.012,0.011,0.010,122.786,0.178,0.013,0.010,120.000,-0.686,-0.277,100,1201945.999,0.239,0.003,138.814,0.011,1.113,0.899,0.831
3,6.982E-5,108.924,0.000,158,0.298,0.009,0.077,0.291,0.001,0.013,0.014,0.016,0.005,138.920,0.146,0.017,0.008,120.000,-1.072,0.366,100,910385.000,0.291,0.002,136.960,0.008,3.038,0.329,0.625
4,3.457E-5,128.087,29.000,158,0.017,0.014,0.070,0.014,0.005,0.008,0.016,0.013,0.003,103.365,0.088,0.016,0.004,136.000,-0.987,0.324,100,530024.000,0.017,0.005,93.991,0.006,3.717,0.269,0.470
5,4.001E-5,128.692,68.000,158,0.364,0.012,0.070,0.359,0.007,0.009,0.009,0.009,0.006,143.055,0.104,0.010,0.005,134.000,-0.584,-0.899,100,616306.000,0.361,0.008,136.824,0.006,1.632,0.613,0.766
6,3.337E-5,99.364,4.000,158,0.138,0.014,0.036,0.135,0.009,0.005,0.010,0.010,0.004,86.646,0.317,0.010,0.003,105.000,-0.479,-0.831,100,396860.000,0.137,0.019,74.261,0.005,2.547,0.393,0.725
7,7.996E-5,67.758,0.000,158,0.041,0.018,0.056,0.036,0.011,0.010,0.014,0.013,0.008,105.696,0.322,0.014,0.005,69.000,0.113,-1.496,100,648509.999,0.039,0.011,100.871,0.009,1.639,0.610,0.815
8,1.644E-4,116.127,0.000,158,0.317,0.021,0.160,0.308,0.012,0.018,0.018,0.017,0.013,133.331,0.081,0.022,0.019,122.000,-0.946,0.412,100,2285272.999,0.309,0.012,131.754,0.016,1.307,0.765,0.670
9,7.108E-5,96.688,0.000,158,0.011,0.021,0.083,0.006,0.014,0.011,0.013,0.012,0.008,118.925,0.130,0.014,0.007,110.000,-0.773,-0.594,100,822618.999,0.008,0.027,80.348,0.011,1.477,0.677,0.663
10,2.149E-5,117.165,52.000,158,0.105,0.018,0.027,0.102,0.015,0.006,0.005,0.006,0.004,147.165,0.364,0.007,0.003,117.000,-0.108,-1.174,100,301348.000,0.103,0.016,149.859,0.005,1.444,0.692,0.863
11,7.032E-5,122.340,4.000,158,0.365,0.026,0.097,0.357,0.019,0.015,0.011,0.013,0.007,150.743,0.094,0.016,0.009,137.000,-1.274,0.709,100,1029737.997,0.357,0.024,158.078,0.009,1.977,0.506,0.685
12,9.890E-5,73.306,0.000,158,0.299,0.027,0.070,0.293,0.020,0.015,0.013,0.012,0.011,159.766,0.251,0.015,0.007,78.000,-0.044,-1.466,100,867874.000,0.293,0.025,165.222,0.012,1.121,0.892,0.773
13,2.848E-5,116.326,46.000,158,0.330,0.026,0.038,0.328,0.022,0.006,0.008,0.008,0.005,77.453,0.247,0.009,0.003,119.000,-0.222,-1.300,100,396556.000,0.329,0.030,66.272,0.006,1.751,0.571,0.737
14,8.540E-5,98.217,0.000,158,0.080,0.030,0.095,0.074,0.022,0.011,0.017,0.014,0.008,78.970,0.120,0.019,0.008,119.000,-0.605,-1.114,100,1004077.000,0.076,0.039,64.058,0.010,1.928,0.519,0.620
15,2.149E-5,112.132,27.000,158,0.103,0.027,0.030,0.100,0.024,0.006,0.008,0.008,0.004,118.662,0.291,0.009,0.002,114.000,-0.320,-0.771,100,288404.000,0.100,0.024,118.706,0.005,2.214,0.452,0.723
16,2.686E-5,136.244,64.000,158,0.114,0.030,0.056,0.110,0.026,0.009,0.008,0.009,0.004,37.637,0.109,0.011,0.004,142.000,-1.268,1.022,100,438026.000,0.111,0.034,49.347,0.006,2.434,0.411,0.631
17,3.906E-5,96.786,0.000,158,0.357,0.031,0.038,0.353,0.026,0.007,0.009,0.008,0.007,95.495,0.334,0.009,0.004,100.000,-0.356,-0.951,100,452475.000,0.357,0.035,87.663,0.007,1.133,0.882,0.831
18,3.210E-5,118.739,37.000,158,0.210,0.033,0.040,0.207,0.028,0.006,0.009,0.009,0.005,74.753,0.254,0.010,0.004,126.000,-0.641,-0.699,100,456194.001,0.208,0.038,76.884,0.005,1.874,0.534,0.749
19,5.484E-5,129.331,28.000,158,0.039,0.040,0.076,0.033,0.033,0.012,0.013,0.015,0.005,121.485,0.118,0.017,0.007,134.000,-1.181,1.461,100,848931.000,0.034,0.033,133.210,0.007,3.167,0.316,0.614
20,3.588E-5,127.126,49.000,158,0.128,0.038,0.051,0.124,0.034,0.007,0.009,0.010,0.005,114.642,0.175,0.010,0.005,138.000,-1.046,0.062,100,546006.000,0.126,0.034,119.999,0.006,2.077,0.482,0.742
21,1.225E-4,117.008,24.000,158,0.113,0.052,0.139,0.103,0.041,0.023,0.018,0.016,0.010,170.199,0.079,0.023,0.014,122.000,-0.594,-0.379,100,1716386.000,0.103,0.057,5.419,0.018,1.622,0.617,0.439
22,2.633E-5,116.162,45.000,158,0.093,0.047,0.030,0.091,0.043,0.005,0.009,0.009,0.004,106.096,0.364,0.009,0.003,117.000,-0.232,-0.860,100,366143.000,0.092,0.043,103.891,0.004,2.199,0.455,0.830
23,2.876E-5,144.409,88.000,158,0.145,0.048,0.092,0.141,0.043,0.009,0.008,0.006,0.006,72.939,0.043,0.009,0.004,147.000,-1.567,2.724,100,497201.000,0.141,0.047,162.681,0.008,1.017,0.983,0.517
24,9.579E-5,105.914,12.000,158,0.280,0.054,0.088,0.274,0.046,0.011,0.019,0.016,0.008,96.203,0.154,0.019,0.010,112.000,-0.520,-0.738,100,1214412.000,0.279,0.065,80.538,0.010,2.105,0.475,0.686
