 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,4.028E-5,139.538,49.000,172,0.181,0.006,0.078,0.173,2.742E-4,0.014,0.011,0.009,0.006,173.503,0.083,0.014,0.006,151.000,-1.099,0.136,100,672854.000,0.173,0.008,168.906,0.010,1.529,0.654,0.422
2,6.968E-5,131.810,60.000,172,0.329,0.011,0.080,0.324,0.003,0.010,0.015,0.014,0.006,69.084,0.137,0.016,0.009,138.000,-0.446,-1.000,100,1099425.000,0.325,0.017,66.275,0.008,2.165,0.462,0.726
3,3.276E-5,153.461,95.000,172,0.055,0.009,0.078,0.051,0.004,0.010,0.011,0.010,0.004,136.285,0.067,0.014,0.005,156.000,-0.937,0.934,100,601719.000,0.052,0.004,126.642,0.007,2.431,0.411,0.490
4,3.959E-5,94.820,0.000,172,0.105,0.008,0.034,0.099,0.005,0.011,0.007,0.011,0.005,23.353,0.430,0.012,0.004,99.000,-0.125,-1.290,100,449352.000,0.099,0.011,30.353,0.005,2.304,0.434,0.881
5,3.795E-5,146.785,76.000,172,0.167,0.012,0.072,0.162,0.005,0.010,0.014,0.013,0.004,63.814,0.092,0.015,0.006,148.000,-0.825,0.607,100,666845.001,0.165,0.019,67.116,0.006,3.559,0.281,0.494
6,4.502E-5,114.713,0.000,172,0.012,0.013,0.059,0.008,0.007,0.010,0.011,0.009,0.006,111.770,0.163,0.012,0.005,119.000,-0.626,-0.275,100,618186.000,0.009,0.010,139.970,0.009,1.561,0.641,0.596
7,3.265E-5,136.357,18.000,172,0.314,0.013,0.084,0.310,0.007,0.008,0.011,0.009,0.005,103.637,0.059,0.011,0.004,157.000,-1.286,0.374,100,532884.000,0.312,0.007,101.041,0.007,2.002,0.499,0.550
8,2.674E-5,138.451,72.000,172,0.075,0.013,0.032,0.072,0.009,0.007,0.007,0.009,0.004,42.804,0.318,0.009,0.004,147.000,-0.749,-0.519,100,443183.000,0.073,0.016,52.784,0.004,2.247,0.445,0.826
9,2.582E-5,91.543,0.000,172,0.141,0.013,0.026,0.138,0.009,0.006,0.008,0.007,0.005,85.708,0.463,0.008,0.002,93.000,-0.196,-1.196,100,282960.000,0.140,0.009,101.056,0.006,1.297,0.771,0.798
10,6.912E-5,89.611,0.000,172,0.245,0.014,0.053,0.239,0.010,0.014,0.009,0.013,0.007,10.789,0.312,0.014,0.006,90.000,-0.227,-1.111,100,741445.000,0.239,0.014,1.824,0.008,1.867,0.536,0.809
