 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5.697E-5,109.190,0,163,0.548,0.014,0.050,0.543,0.009,0.010,0.009,0.010,0.007,36.921,0.288,0.011,0.006,124.000,-0.726,-0.692,100,329534.000,0.544,0.018,30.964,0.008,1.435,0.697,0.844
2,3.026E-5,146.808,105,163,0.459,0.014,0.052,0.454,0.010,0.009,0.008,0.008,0.005,170.265,0.139,0.009,0.004,149.000,-0.826,0.034,100,235334.000,0.454,0.013,173.290,0.007,1.704,0.587,0.635
3,4.976E-5,110.643,0,163,0.009,0.026,0.070,0.002,0.019,0.013,0.012,0.010,0.006,128.229,0.128,0.015,0.006,127.000,-0.945,-0.244,100,291656.000,0.002,0.020,150.001,0.009,1.640,0.610,0.526
4,6.035E-5,151.500,109,163,0.552,0.030,0.161,0.547,0.022,0.012,0.015,0.014,0.006,68.262,0.029,0.018,0.009,154.000,-1.318,1.437,100,484347.000,0.548,0.036,49.447,0.008,2.442,0.410,0.511
5,5.701E-5,91.820,0,162,0.452,0.028,0.040,0.447,0.023,0.010,0.010,0.012,0.006,42.000,0.438,0.012,0.005,104.000,-0.404,-1.135,100,277295.000,0.448,0.033,48.155,0.007,1.902,0.526,0.884
6,4.172E-5,95.379,0,161,0.377,0.030,0.041,0.371,0.026,0.010,0.009,0.008,0.006,153.678,0.313,0.010,0.004,110.500,-0.588,-0.960,100,210787.000,0.371,0.030,171.314,0.008,1.341,0.746,0.694
7,2.937E-5,125.616,71,161,0.284,0.030,0.026,0.281,0.027,0.007,0.006,0.007,0.005,157.848,0.557,0.008,0.004,129.000,-0.294,-1.189,100,195458.000,0.281,0.029,145.437,0.006,1.297,0.771,0.906
8,8.978E-5,80.826,0,163,0.179,0.037,0.057,0.172,0.031,0.014,0.011,0.013,0.009,154.927,0.349,0.014,0.007,94.000,-0.185,-1.537,100,384407.000,0.173,0.034,152.700,0.010,1.486,0.673,0.826
9,2.794E-5,85.274,0,161,0.511,0.035,0.028,0.508,0.031,0.007,0.007,0.008,0.005,49.651,0.456,0.008,0.002,100.000,-0.288,-1.428,100,126205.000,0.508,0.038,42.979,0.005,1.693,0.591,0.894
10,6.763E-5,114.359,10,163,0.491,0.041,0.062,0.486,0.034,0.009,0.012,0.011,0.008,76.995,0.223,0.013,0.008,126.000,-0.640,-0.783,100,409748.000,0.488,0.045,65.659,0.009,1.390,0.720,0.818
11,4.226E-5,66.540,0,163,0.266,0.039,0.030,0.261,0.035,0.009,0.009,0.008,0.007,151.851,0.588,0.009,0.003,58.000,0.231,-1.425,100,148983.000,0.261,0.039,175.533,0.007,1.171,0.854,0.866
12,4.315E-4,86.020,0,163,0.540,0.056,0.325,0.520,0.037,0.036,0.036,0.029,0.019,44.375,0.051,0.045,0.037,110.000,-0.311,-1.623,100,1966243.995,0.520,0.067,38.226,0.028,1.555,0.643,0.570
13,3.817E-5,126.430,49,163,0.155,0.042,0.053,0.150,0.038,0.010,0.008,0.008,0.006,19.452,0.168,0.010,0.005,128.000,-0.431,-0.791,100,255641.000,0.151,0.044,18.677,0.008,1.163,0.860,0.695
14,2.297E-5,97.590,8,163,0.114,0.045,0.020,0.111,0.042,0.006,0.006,0.006,0.005,60.283,0.709,0.006,0.002,102.000,-0.196,-1.125,100,118767.000,0.113,0.048,72.350,0.005,1.241,0.806,0.925
15,2.454E-5,111.250,21,159,0.246,0.047,0.026,0.243,0.044,0.008,0.006,0.007,0.005,9.110,0.442,0.008,0.003,121.000,-0.516,-1.004,100,144625.000,0.243,0.048,10.305,0.005,1.384,0.723,0.785
16,2.061E-5,147.922,115,163,0.290,0.049,0.038,0.286,0.046,0.008,0.006,0.007,0.004,161.316,0.182,0.008,0.003,150.000,-0.644,-0.291,100,161531.000,0.286,0.049,5.013,0.005,2.004,0.499,0.682
17,5.265E-5,107.526,0,163,0.021,0.062,0.051,0.014,0.056,0.011,0.011,0.009,0.008,29.313,0.252,0.012,0.006,128.000,-0.974,-0.308,100,299888.999,0.020,0.056,109.477,0.010,1.151,0.869,0.638
18,4.532E-5,88.203,0,163,0.033,0.062,0.040,0.028,0.058,0.010,0.008,0.009,0.007,1.191,0.355,0.011,0.004,100.000,-0.393,-1.169,100,211775.000,0.028,0.065,22.190,0.007,1.318,0.759,0.744
19,3.086E-5,97.128,0,160,0.298,0.066,0.026,0.294,0.062,0.008,0.008,0.009,0.005,135.559,0.578,0.009,0.003,103.000,-0.374,-0.959,100,158804.000,0.296,0.062,121.724,0.005,1.934,0.517,0.890
20,5.937E-5,75.939,0,162,0.353,0.068,0.051,0.347,0.064,0.014,0.008,0.013,0.006,165.010,0.284,0.014,0.005,74.000,0.022,-1.516,100,238827.000,0.347,0.067,170.352,0.007,2.100,0.476,0.762
21,4.832E-5,138.855,93,163,0.449,0.069,0.056,0.445,0.065,0.009,0.010,0.010,0.006,126.856,0.193,0.012,0.007,140.000,-0.256,-1.127,100,355469.000,0.445,0.066,139.844,0.007,1.677,0.596,0.789
22,7.560E-5,90.629,0,163,0.048,0.072,0.052,0.042,0.066,0.013,0.012,0.011,0.008,160.034,0.354,0.013,0.007,104.000,-0.479,-1.084,100,362970.000,0.042,0.074,1.809,0.011,1.365,0.733,0.770
23,3.588E-5,128.771,62,163,0.065,0.072,0.037,0.061,0.069,0.008,0.008,0.007,0.006,63.387,0.332,0.010,0.005,133.000,-0.481,-0.788,100,244793.000,0.062,0.077,48.965,0.008,1.199,0.834,0.747
24,4.058E-5,122.291,58,163,0.101,0.074,0.044,0.094,0.071,0.013,0.007,0.012,0.004,160.982,0.268,0.014,0.005,122.000,-0.216,-1.116,100,262926.000,0.094,0.074,163.025,0.006,2.655,0.377,0.684
25,7.934E-5,55.113,0,163,0.120,0.076,0.040,0.115,0.071,0.011,0.011,0.011,0.009,115.401,0.613,0.011,0.004,36.000,0.499,-1.301,100,231639.000,0.115,0.074,165.114,0.010,1.192,0.839,0.918
