 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.163E-5,109.864,0,181,0.013,0.005,0.025,0.010,0.001,0.007,0.006,0.006,0.005,140.263,0.450,0.007,0.002,124,-0.494,-1.113,100,125904.000,0.010,0.005,5.947,0.005,1.142,0.876,0.835
2,3.875E-5,163.990,137,180,0.288,0.015,0.039,0.283,0.011,0.009,0.009,0.009,0.005,42.209,0.327,0.011,0.006,165,-0.420,-0.708,100,336672.000,0.284,0.019,54.028,0.006,1.688,0.593,0.797
3,2.977E-5,173.226,153,181,0.548,0.016,0.060,0.544,0.012,0.008,0.008,0.007,0.006,115.159,0.105,0.008,0.005,173,-0.777,0.956,100,273178.000,0.546,0.012,105.945,0.007,1.132,0.883,0.678
4,8.770E-5,89.087,0,181,0.062,0.021,0.052,0.057,0.014,0.011,0.013,0.012,0.009,121.571,0.408,0.013,0.008,98,-0.145,-1.508,100,413900.000,0.060,0.014,114.394,0.011,1.316,0.760,0.854
5,2.252E-5,160.701,119,180,0.398,0.019,0.026,0.394,0.016,0.007,0.005,0.006,0.005,6.727,0.431,0.007,0.004,164,-0.489,-0.823,100,191716.000,0.394,0.020,8.297,0.005,1.342,0.745,0.860
6,2.201E-5,158.937,126,180,0.490,0.023,0.031,0.487,0.020,0.006,0.006,0.006,0.005,123.516,0.293,0.007,0.003,162,-0.350,-0.947,100,185321.000,0.488,0.021,131.906,0.005,1.333,0.750,0.788
7,5.463E-5,115.207,0,181,0.164,0.024,0.054,0.157,0.021,0.013,0.007,0.013,0.005,170.495,0.236,0.014,0.006,128,-0.550,-0.925,100,333410.000,0.157,0.022,154.654,0.007,2.342,0.427,0.651
8,2.450E-5,150.252,89,181,0.437,0.025,0.025,0.434,0.021,0.005,0.007,0.007,0.005,103.278,0.493,0.007,0.004,156,-0.511,-0.812,100,195027.000,0.437,0.021,100.886,0.005,1.384,0.722,0.857
9,2.278E-5,173.307,150,181,0.425,0.036,0.049,0.421,0.033,0.006,0.008,0.007,0.004,71.437,0.120,0.008,0.004,176,-1.211,0.567,100,209182.000,0.421,0.039,44.341,0.005,1.751,0.571,0.614
10,5.429E-5,96.549,0,181,0.136,0.041,0.038,0.131,0.036,0.010,0.009,0.011,0.006,137.996,0.463,0.011,0.005,114,-0.331,-1.445,100,277674.000,0.132,0.037,150.524,0.007,1.649,0.607,0.870
11,6.724E-5,161.874,107,179,0.558,0.043,0.069,0.553,0.037,0.010,0.012,0.012,0.007,53.843,0.179,0.013,0.011,163,-1.054,0.553,100,576594.000,0.555,0.049,58.829,0.009,1.579,0.633,0.817
12,6.779E-5,147.784,74,181,0.506,0.044,0.068,0.499,0.039,0.015,0.009,0.014,0.006,19.152,0.186,0.016,0.010,152,-0.805,-0.164,100,530691.000,0.499,0.047,25.694,0.007,2.380,0.420,0.761
13,4.232E-5,157.360,78,181,0.050,0.043,0.076,0.039,0.040,0.026,0.006,0.021,0.003,10.428,0.091,0.026,0.007,164,-1.346,1.149,100,352802.000,0.039,0.046,11.720,0.004,8.321,0.120,0.505
14,2.235E-5,159.860,77,181,0.157,0.045,0.039,0.152,0.042,0.010,0.005,0.008,0.004,8.279,0.189,0.010,0.004,169,-1.444,1.456,100,189274.000,0.152,0.047,9.462,0.005,2.154,0.464,0.586
