 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.723E-5,123.363,59.548,158.276,0.156,0.005,0.041,0.153,0.001,0.006,0.009,0.008,0.004,109.288,0.204,0.009,0.003,125.315,-0.437,-1.013,100,309394.164,0.155,0.002,110.630,0.005,1.776,0.563,0.749
2,2.747E-5,93.178,0.000,159.096,0.376,0.007,0.026,0.373,0.003,0.006,0.007,0.007,0.005,68.581,0.496,0.008,0.003,96.224,-0.268,-0.960,100,235740.799,0.375,0.010,65.807,0.005,1.482,0.675,0.857
3,7.597E-5,61.628,0.000,159.165,0.275,0.010,0.043,0.270,0.005,0.011,0.011,0.011,0.009,46.577,0.507,0.011,0.005,59.232,0.252,-1.507,100,431148.301,0.270,0.013,32.391,0.009,1.226,0.815,0.911
4,2.196E-5,119.820,59.475,159.165,0.365,0.009,0.034,0.362,0.006,0.007,0.008,0.007,0.004,43.070,0.238,0.009,0.003,124.336,-0.340,-0.998,100,242276.420,0.364,0.013,58.134,0.005,1.945,0.514,0.636
5,2.561E-5,88.898,0.000,159.165,0.227,0.011,0.027,0.223,0.007,0.008,0.007,0.008,0.004,41.087,0.434,0.008,0.002,88.252,-0.041,-0.992,100,209621.574,0.224,0.014,34.095,0.005,1.895,0.528,0.792
6,3.210E-5,109.826,0.000,159.165,0.072,0.012,0.041,0.068,0.009,0.009,0.006,0.008,0.005,3.454,0.237,0.009,0.004,126.294,-1.222,0.509,100,324646.347,0.068,0.013,21.084,0.006,1.591,0.629,0.734
7,3.560E-5,145.453,114.419,159.165,0.040,0.018,0.060,0.036,0.014,0.006,0.009,0.009,0.005,73.196,0.126,0.010,0.005,149.291,-0.584,-0.601,100,476794.190,0.037,0.023,66.961,0.006,1.637,0.611,0.754
8,4.123E-5,92.639,0.000,159.165,0.337,0.024,0.051,0.333,0.019,0.010,0.013,0.013,0.004,117.084,0.199,0.016,0.004,110.507,-0.536,-1.165,100,351752.119,0.333,0.019,127.476,0.005,3.202,0.312,0.630
9,2.245E-5,131.097,76.323,159.096,0.020,0.023,0.032,0.017,0.020,0.006,0.007,0.006,0.005,51.006,0.271,0.007,0.003,138.238,-0.638,-0.479,100,270978.473,0.018,0.025,44.384,0.006,1.254,0.797,0.748
10,2.491E-5,108.355,22.281,158.276,0.222,0.024,0.028,0.219,0.020,0.006,0.007,0.007,0.005,50.917,0.408,0.008,0.003,116.432,-0.507,-0.838,100,248565.300,0.221,0.027,59.036,0.006,1.390,0.719,0.817
