 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,3.961E-5,70.471,0.000,154.075,0.339,0.006,0.030,0.335,0.003,0.009,0.007,0.010,0.005,30.501,0.543,0.010,0.003,73.125,0.010,-1.417,100,257077.838,0.335,0.009,34.846,0.005,1.976,0.506,0.915
2,1.631E-4,105.416,2.000,154.216,0.308,0.013,0.182,0.289,0.003,0.041,0.018,0.028,0.007,13.558,0.062,0.041,0.017,110.432,-0.643,-0.380,100,1583460.216,0.289,0.014,2.609,0.016,3.727,0.268,0.358
3,7.632E-5,126.162,25.188,154.075,0.013,0.013,0.101,6.252E-4,0.009,0.023,0.009,0.021,0.005,5.715,0.094,0.023,0.010,132.086,-1.132,1.174,100,886663.627,0.001,0.018,14.864,0.008,4.412,0.227,0.466
4,1.668E-4,79.706,0.000,154.075,0.406,0.023,0.120,0.398,0.015,0.016,0.018,0.017,0.013,110.489,0.146,0.018,0.013,82.976,-0.220,-1.403,100,1224285.818,0.402,0.033,80.375,0.015,1.311,0.763,0.809
5,2.817E-5,120.649,62.476,154.216,0.041,0.020,0.033,0.037,0.016,0.008,0.008,0.007,0.005,114.370,0.323,0.008,0.003,122.302,-0.281,-0.731,100,312963.093,0.039,0.016,100.713,0.007,1.218,0.821,0.757
6,2.191E-5,131.713,96.605,153.391,0.236,0.022,0.037,0.233,0.019,0.006,0.006,0.006,0.004,135.643,0.205,0.007,0.003,128.571,-0.217,-0.981,100,265796.750,0.233,0.021,141.470,0.005,1.414,0.707,0.790
7,1.997E-5,129.863,84.561,154.216,0.025,0.027,0.036,0.023,0.022,0.004,0.011,0.010,0.003,101.295,0.196,0.011,0.003,132.397,-0.412,-0.664,100,238817.161,0.024,0.022,106.543,0.003,3.810,0.262,0.754
8,5.653E-5,71.241,0.000,154.282,0.151,0.028,0.054,0.147,0.022,0.009,0.012,0.010,0.007,81.332,0.245,0.014,0.004,75.167,-0.030,-1.549,100,370879.439,0.147,0.034,60.474,0.009,1.482,0.675,0.616
9,3.147E-5,105.860,6.000,154.216,0.067,0.026,0.037,0.063,0.023,0.009,0.006,0.008,0.005,172.134,0.289,0.009,0.003,117.353,-0.820,-0.246,100,306781.439,0.063,0.025,171.158,0.006,1.588,0.630,0.709
10,3.805E-5,90.020,0.000,154.282,0.124,0.031,0.039,0.118,0.027,0.011,0.009,0.011,0.004,143.667,0.306,0.013,0.003,91.364,-0.177,-1.145,100,315431.479,0.118,0.027,147.745,0.006,2.685,0.372,0.659
11,6.822E-5,105.389,29.388,154.282,0.241,0.050,0.058,0.236,0.043,0.010,0.014,0.014,0.006,113.514,0.259,0.014,0.007,110.432,-0.345,-0.987,100,662054.208,0.240,0.043,97.765,0.007,2.110,0.474,0.776
12,2.360E-5,117.031,34.286,153.432,0.192,0.046,0.037,0.186,0.044,0.011,0.005,0.011,0.003,162.156,0.213,0.012,0.003,119.441,-0.711,-0.073,100,254308.493,0.186,0.045,165.593,0.004,3.923,0.255,0.746
13,1.968E-5,123.121,71.430,152.263,0.391,0.047,0.029,0.388,0.044,0.006,0.005,0.005,0.005,12.310,0.290,0.006,0.002,124.336,-0.363,-0.940,100,223094.719,0.388,0.049,35.311,0.005,1.138,0.879,0.839
14,6.050E-5,60.786,0.000,154.282,0.300,0.050,0.042,0.295,0.045,0.010,0.009,0.010,0.008,7.422,0.432,0.010,0.004,59.232,0.232,-1.421,100,338641.421,0.295,0.049,167.347,0.009,1.240,0.807,0.853
15,2.236E-5,126.445,52.435,153.306,0.037,0.049,0.043,0.032,0.046,0.011,0.006,0.010,0.003,10.419,0.155,0.011,0.003,131.494,-0.904,0.309,100,260350.901,0.032,0.050,18.094,0.005,3.743,0.267,0.532
16,2.222E-5,79.711,0.000,153.306,0.336,0.060,0.022,0.333,0.056,0.006,0.006,0.006,0.005,143.719,0.559,0.006,0.002,86.291,-0.186,-1.236,100,163088.927,0.333,0.059,172.147,0.005,1.101,0.908,0.888
17,3.554E-5,124.317,71.510,154.282,0.018,0.062,0.050,0.013,0.057,0.010,0.008,0.009,0.005,31.027,0.176,0.011,0.004,126.294,-0.531,-0.541,100,406888.537,0.014,0.065,41.135,0.007,1.661,0.602,0.632
