 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,7.708E-5,148.255,39,192,0.290,0.006,0.091,0.281,0.001,0.021,0.008,0.020,0.005,9.388,0.118,0.021,0.011,157,-0.854,-0.102,100,1052312.001,0.281,0.008,15.675,0.006,4.235,0.236,0.710
2,2.861E-5,164.390,116,192,0.312,0.007,0.041,0.309,0.004,0.007,0.007,0.006,0.006,33.263,0.211,0.008,0.005,171,-0.586,-0.727,100,433168.000,0.310,0.010,51.096,0.006,1.102,0.908,0.794
3,3.634E-5,122.297,0,192,0.269,0.011,0.043,0.265,0.007,0.009,0.008,0.009,0.005,42.985,0.253,0.011,0.004,149,-0.808,-0.797,100,409327.000,0.265,0.015,48.918,0.006,1.926,0.519,0.784
4,2.200E-5,161.466,100,192,0.325,0.019,0.037,0.322,0.016,0.006,0.007,0.006,0.005,59.185,0.197,0.007,0.004,166,-0.562,-0.862,100,327130.000,0.323,0.022,59.931,0.005,1.304,0.767,0.780
5,3.026E-4,85.156,0,192,0.124,0.028,0.224,0.113,0.016,0.021,0.022,0.021,0.019,61.947,0.076,0.025,0.026,86,0.073,-1.755,100,2373120.004,0.116,0.038,61.390,0.020,1.125,0.889,0.785
6,7.315E-5,138.459,0,192,0.353,0.031,0.084,0.346,0.024,0.014,0.013,0.015,0.006,146.797,0.129,0.016,0.010,156,-1.300,0.801,100,932661.000,0.349,0.024,138.743,0.008,2.534,0.395,0.712
7,2.694E-5,170.532,81,190,0.050,0.030,0.074,0.045,0.026,0.009,0.008,0.007,0.005,57.077,0.061,0.010,0.005,183,-1.697,2.176,100,423090.000,0.045,0.032,26.565,0.007,1.259,0.794,0.604
8,5.131E-5,162.465,93,192,0.218,0.038,0.089,0.213,0.031,0.010,0.014,0.011,0.006,80.662,0.082,0.015,0.008,168,-0.689,-0.403,100,767647.999,0.216,0.045,70.787,0.009,1.894,0.528,0.505
9,3.241E-5,177.873,150,192,0.382,0.041,0.067,0.378,0.037,0.008,0.008,0.007,0.006,139.911,0.092,0.009,0.006,179,-0.698,0.476,100,530950.000,0.379,0.044,43.059,0.007,1.079,0.927,0.651
10,2.758E-5,136.226,18,192,0.104,0.046,0.038,0.100,0.041,0.008,0.010,0.009,0.004,128.088,0.242,0.010,0.004,143,-0.501,-0.773,100,346013.000,0.102,0.041,104.036,0.006,2.187,0.457,0.673
