 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,5.322E-5,166.140,93.000,184,0.187,0.005,0.080,0.181,6.252E-4,0.013,0.008,0.011,0.006,11.016,0.104,0.013,0.009,167.000,-1.028,2.018,100,814250.000,0.182,0.009,30.353,0.008,1.678,0.596,0.696
2,5.938E-5,76.342,0.000,184,0.068,0.010,0.051,0.061,0.006,0.012,0.009,0.012,0.006,145.582,0.289,0.013,0.005,71.000,0.149,-1.589,100,417437.000,0.063,0.007,144.782,0.008,1.960,0.510,0.770
3,2.714E-5,91.132,0.000,182,0.167,0.013,0.027,0.164,0.008,0.005,0.008,0.007,0.005,82.370,0.464,0.008,0.002,98.000,-0.167,-1.465,100,227739.000,0.167,0.016,82.600,0.005,1.625,0.615,0.874
4,2.742E-5,132.042,28.000,184,0.035,0.013,0.041,0.032,0.009,0.006,0.008,0.007,0.005,113.560,0.209,0.008,0.004,143.000,-0.610,-0.804,100,333405.000,0.033,0.009,123.690,0.005,1.444,0.693,0.809
5,3.105E-5,150.581,70.000,184,0.341,0.018,0.037,0.338,0.015,0.006,0.009,0.008,0.005,67.940,0.279,0.009,0.005,157.000,-0.730,-0.452,100,430512.000,0.340,0.023,73.872,0.006,1.512,0.661,0.810
6,3.300E-5,129.911,38.000,184,0.356,0.026,0.033,0.353,0.022,0.007,0.008,0.008,0.005,122.031,0.392,0.008,0.004,137.000,-0.451,-1.018,100,394799.000,0.354,0.022,108.886,0.006,1.476,0.677,0.877
7,3.376E-5,103.242,0.000,184,0.027,0.032,0.031,0.023,0.029,0.008,0.007,0.007,0.006,22.418,0.428,0.008,0.003,108.000,-0.457,-0.996,100,320980.000,0.023,0.034,20.113,0.007,1.116,0.896,0.887
8,2.247E-5,176.526,153.000,184,0.419,0.033,0.077,0.414,0.030,0.010,0.006,0.007,0.004,168.288,0.048,0.011,0.004,175.000,-0.465,0.201,100,365233.000,0.414,0.032,166.373,0.006,1.963,0.510,0.487
9,4.811E-5,128.165,34.000,184,0.172,0.038,0.040,0.168,0.033,0.009,0.011,0.010,0.006,53.390,0.370,0.011,0.006,133.000,-0.472,-0.939,100,567772.000,0.172,0.043,88.866,0.007,1.628,0.614,0.810
10,5.343E-5,95.298,0.000,184,0.394,0.045,0.041,0.390,0.041,0.008,0.010,0.009,0.008,75.062,0.402,0.010,0.005,110.000,-0.252,-1.513,100,468866.000,0.394,0.050,83.991,0.008,1.208,0.828,0.890
11,1.229E-4,82.057,0.000,184,0.322,0.051,0.079,0.316,0.043,0.013,0.018,0.016,0.010,77.497,0.245,0.018,0.010,88.000,0.029,-1.663,100,928717.000,0.319,0.060,70.848,0.012,1.575,0.635,0.814
12,3.760E-5,139.064,61.000,182,0.296,0.051,0.038,0.293,0.046,0.007,0.009,0.009,0.005,113.212,0.327,0.010,0.005,142.000,-0.457,-0.930,100,481579.999,0.294,0.046,116.003,0.006,1.832,0.546,0.858
13,5.917E-5,84.151,0.000,184,0.255,0.050,0.040,0.250,0.047,0.012,0.008,0.012,0.006,24.802,0.473,0.012,0.005,80.000,0.090,-1.366,100,458540.000,0.250,0.051,10.261,0.007,1.819,0.550,0.859
14,3.181E-5,163.086,120.000,184,0.411,0.058,0.041,0.407,0.055,0.008,0.007,0.007,0.006,3.627,0.240,0.008,0.005,167.000,-0.625,-0.575,100,477679.000,0.407,0.059,7.400,0.007,1.225,0.816,0.773
