 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.192E-5,144.824,113,162,0.005,0.005,0.049,0.001,4.888E-4,0.006,0.010,0.008,0.003,71.581,0.116,0.011,0.003,143.000,-0.319,-0.943,100,212602.000,0.001,0.010,60.255,0.005,2.439,0.410,0.519
2,2.033E-5,118.383,52,163,0.086,0.008,0.025,0.083,0.005,0.006,0.006,0.007,0.004,134.907,0.408,0.008,0.002,123.000,-0.276,-0.994,100,161119.000,0.084,0.005,129.226,0.005,1.902,0.526,0.770
3,2.262E-4,57.296,0,163,0.429,0.016,0.107,0.417,0.005,0.024,0.021,0.024,0.012,41.860,0.247,0.027,0.013,38.000,0.437,-1.448,100,867800.000,0.417,0.024,24.812,0.013,1.971,0.507,0.795
4,2.064E-5,111.734,31,163,0.112,0.013,0.023,0.109,0.010,0.005,0.007,0.007,0.004,67.864,0.476,0.008,0.002,120.000,-0.546,-0.806,100,154416.000,0.110,0.017,66.571,0.005,1.802,0.555,0.809
5,7.799E-5,85.279,0,163,0.087,0.018,0.050,0.081,0.012,0.011,0.012,0.010,0.010,0.017,0.390,0.012,0.007,83.000,-0.037,-1.343,100,445326.999,0.082,0.021,30.466,0.011,1.078,0.928,0.810
6,2.412E-5,102.469,1,163,0.035,0.016,0.027,0.032,0.013,0.007,0.006,0.007,0.004,26.495,0.402,0.008,0.002,112.000,-0.490,-0.953,100,165488.000,0.032,0.017,22.135,0.006,1.541,0.649,0.753
7,1.289E-4,75.516,0,163,0.104,0.024,0.081,0.098,0.014,0.014,0.018,0.014,0.011,109.582,0.247,0.018,0.010,81.000,-0.100,-1.469,100,651782.000,0.101,0.014,94.953,0.014,1.252,0.798,0.716
8,1.012E-4,111.270,18,163,0.451,0.028,0.071,0.444,0.019,0.012,0.017,0.015,0.009,86.625,0.255,0.017,0.011,116.000,-0.440,-0.692,100,754190.000,0.451,0.037,81.069,0.012,1.686,0.593,0.740
9,3.769E-5,96.776,0,163,0.031,0.026,0.036,0.026,0.023,0.010,0.007,0.010,0.005,167.985,0.371,0.010,0.004,115.000,-0.667,-0.872,100,244262.000,0.026,0.027,11.174,0.006,2.024,0.494,0.766
10,2.213E-5,68.002,0,163,0.206,0.027,0.020,0.204,0.024,0.005,0.006,0.006,0.005,116.903,0.682,0.006,0.002,62.000,0.168,-1.467,100,100779.000,0.205,0.024,112.203,0.005,1.241,0.806,0.931
11,5.591E-5,78.780,0,163,0.130,0.034,0.037,0.125,0.030,0.010,0.010,0.011,0.006,130.211,0.521,0.012,0.004,84.000,-0.125,-1.305,100,294952.000,0.126,0.030,129.036,0.007,1.781,0.561,0.894
12,4.073E-5,95.505,0,163,0.097,0.038,0.033,0.093,0.034,0.010,0.008,0.010,0.005,28.346,0.485,0.011,0.004,115.000,-0.614,-1.036,100,260441.000,0.093,0.040,25.408,0.006,1.767,0.566,0.848
13,8.882E-4,83.003,0,163,0.141,0.086,0.781,0.102,0.043,0.089,0.123,0.039,0.029,85.501,0.018,0.126,0.074,90.000,-0.187,-1.352,100,4936658.000,0.128,0.166,76.437,0.079,1.352,0.740,0.121
14,5.527E-5,102.865,10,163,0.039,0.050,0.050,0.034,0.044,0.010,0.012,0.013,0.005,47.055,0.278,0.015,0.006,111.000,-0.393,-1.037,100,380702.000,0.035,0.056,49.764,0.007,2.452,0.408,0.756
15,4.400E-5,106.365,33,163,0.446,0.061,0.033,0.441,0.057,0.009,0.007,0.009,0.007,179.846,0.518,0.009,0.005,110.000,-0.180,-1.136,100,313351.000,0.442,0.063,30.828,0.007,1.318,0.759,0.911
16,1.633E-4,63.524,0,163,0.034,0.067,0.072,0.025,0.059,0.016,0.019,0.018,0.012,110.152,0.396,0.019,0.010,60.000,0.260,-1.326,100,694629.999,0.032,0.078,77.905,0.015,1.475,0.678,0.753
17,4.827E-5,107.536,6,163,0.202,0.070,0.041,0.198,0.064,0.009,0.011,0.012,0.005,122.108,0.353,0.012,0.005,117.000,-0.585,-0.705,100,347555.999,0.199,0.064,121.945,0.007,2.280,0.439,0.746
18,1.047E-4,80.158,0,163,0.146,0.073,0.055,0.139,0.064,0.011,0.017,0.015,0.009,89.783,0.440,0.017,0.008,78.000,0.014,-1.301,100,561911.000,0.147,0.064,92.106,0.010,1.743,0.574,0.809
19,5.651E-5,107.245,13,163,0.316,0.071,0.048,0.311,0.067,0.010,0.011,0.010,0.007,129.345,0.308,0.012,0.006,116.000,-0.415,-1.077,100,405814.000,0.313,0.067,125.735,0.009,1.347,0.742,0.811
20,3.613E-5,115.040,33,163,0.364,0.072,0.040,0.358,0.069,0.011,0.007,0.010,0.005,152.586,0.279,0.011,0.004,117.000,-0.465,-0.667,100,278280.999,0.358,0.071,154.564,0.006,2.093,0.478,0.688
21,9.306E-5,82.379,0,163,0.089,0.077,0.052,0.082,0.071,0.014,0.012,0.013,0.009,167.377,0.440,0.015,0.008,86.000,-0.167,-1.251,100,513303.000,0.082,0.076,155.126,0.012,1.440,0.695,0.788
22,5.285E-5,121.520,35,163,0.404,0.085,0.058,0.399,0.080,0.012,0.009,0.009,0.007,170.891,0.200,0.014,0.006,127.000,-0.701,-0.470,100,430060.000,0.399,0.088,31.310,0.009,1.298,0.770,0.589
