 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.269E-5,88.528,0,166,0.026,0.011,0.023,0.023,0.008,0.006,0.006,0.006,0.005,57.175,0.561,0.007,0.002,95.000,-0.235,-1.160,100,134474.000,0.024,0.014,54.345,0.006,1.205,0.830,0.816
2,2.781E-5,142.677,87,166,0.058,0.015,0.051,0.055,0.011,0.008,0.010,0.007,0.005,94.324,0.136,0.010,0.004,145.000,-0.773,-0.097,100,265664.999,0.055,0.020,71.565,0.007,1.554,0.643,0.574
3,2.628E-5,72.166,0,166,0.207,0.024,0.022,0.204,0.020,0.006,0.006,0.006,0.005,130.371,0.705,0.007,0.002,68.000,0.143,-1.490,100,127012.000,0.204,0.021,137.862,0.006,1.124,0.890,0.919
4,2.142E-5,131.461,63,166,0.345,0.023,0.022,0.342,0.020,0.006,0.005,0.006,0.004,24.333,0.556,0.006,0.003,135.000,-0.480,-0.895,100,188515.000,0.342,0.023,18.778,0.005,1.430,0.699,0.897
5,4.306E-5,138.537,81,166,0.461,0.027,0.051,0.455,0.024,0.011,0.007,0.011,0.005,170.334,0.204,0.011,0.006,144.000,-0.643,-0.456,100,399401.999,0.455,0.026,157.135,0.007,2.100,0.476,0.752
6,2.751E-5,114.309,41,165,0.218,0.029,0.035,0.214,0.027,0.010,0.006,0.008,0.004,174.924,0.275,0.011,0.003,119.000,-0.254,-1.204,100,210558.000,0.214,0.027,162.408,0.006,1.829,0.547,0.676
7,5.127E-5,78.635,0,166,0.226,0.038,0.040,0.222,0.032,0.009,0.010,0.010,0.006,53.520,0.405,0.012,0.004,77.000,0.013,-1.550,100,269953.000,0.223,0.042,57.933,0.007,1.573,0.636,0.821
8,5.950E-5,137.578,55,166,0.383,0.037,0.082,0.376,0.033,0.012,0.010,0.010,0.007,149.098,0.112,0.013,0.008,147.000,-0.946,-0.065,100,548112.001,0.376,0.035,160.866,0.009,1.359,0.736,0.712
9,9.258E-5,60.685,0,166,0.010,0.040,0.053,0.004,0.035,0.015,0.011,0.014,0.009,31.374,0.412,0.016,0.006,46.000,0.380,-1.449,100,376188.000,0.004,0.045,20.292,0.010,1.564,0.639,0.858
10,2.748E-5,94.097,0,166,0.068,0.041,0.025,0.065,0.038,0.006,0.007,0.007,0.005,112.993,0.563,0.007,0.003,109.000,-0.482,-1.079,100,173138.000,0.065,0.039,127.626,0.005,1.401,0.714,0.894
11,3.162E-4,86.475,0,166,0.481,0.063,0.175,0.465,0.050,0.029,0.026,0.024,0.017,16.643,0.130,0.029,0.027,100.000,-0.312,-1.452,100,1830765.000,0.465,0.066,31.169,0.019,1.447,0.691,0.702
12,3.057E-5,85.171,0,166,0.156,0.054,0.027,0.152,0.051,0.009,0.005,0.009,0.004,12.722,0.522,0.010,0.003,96.000,-0.228,-1.394,100,174345.000,0.152,0.056,18.208,0.005,2.109,0.474,0.883
13,3.980E-5,66.863,0,166,0.009,0.056,0.029,0.006,0.053,0.007,0.007,0.008,0.007,41.115,0.616,0.008,0.003,63.000,0.211,-1.542,100,178190.000,0.006,0.059,38.530,0.007,1.133,0.883,0.913
14,3.171E-5,108.685,11,166,0.370,0.057,0.028,0.366,0.053,0.006,0.008,0.008,0.005,54.891,0.492,0.009,0.003,119.000,-0.594,-0.847,100,230739.000,0.367,0.061,59.300,0.005,1.694,0.590,0.896
15,2.289E-5,91.610,0,166,0.204,0.060,0.021,0.202,0.057,0.005,0.007,0.007,0.004,63.644,0.655,0.007,0.002,92.000,-0.225,-0.960,100,140438.000,0.202,0.063,54.345,0.005,1.508,0.663,0.897
16,2.627E-5,114.806,29,166,0.259,0.064,0.026,0.255,0.061,0.008,0.006,0.007,0.005,164.812,0.482,0.008,0.003,118.000,-0.541,-0.714,100,201943.001,0.255,0.062,162.096,0.005,1.646,0.608,0.833
17,4.371E-5,123.032,37,166,0.440,0.066,0.036,0.437,0.061,0.008,0.008,0.008,0.007,33.943,0.434,0.008,0.005,127.000,-0.604,-0.610,100,360113.999,0.439,0.061,92.490,0.008,1.037,0.964,0.896
18,1.373E-4,77.115,0,166,0.403,0.084,0.078,0.396,0.074,0.014,0.019,0.018,0.010,123.423,0.280,0.021,0.011,88.000,-0.066,-1.615,100,709069.001,0.398,0.074,118.504,0.012,1.757,0.569,0.792
19,4.268E-5,65.432,0,166,0.010,0.086,0.029,0.007,0.082,0.008,0.008,0.008,0.007,46.774,0.638,0.008,0.003,60.500,0.238,-1.505,100,187005.000,0.007,0.089,29.539,0.007,1.153,0.867,0.933
