 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.511E-4,156.007,51.000,195,0.399,0.019,0.142,0.385,0.012,0.023,0.013,0.021,0.009,4.218,0.095,0.023,0.024,168,-0.975,-0.069,100,1578015.000,0.385,0.019,1.212,0.013,2.205,0.454,0.696
2,2.506E-5,158.826,103.000,195,0.306,0.016,0.028,0.303,0.012,0.005,0.007,0.007,0.004,113.024,0.414,0.007,0.004,161,-0.332,-0.956,100,266510.000,0.306,0.012,95.711,0.005,1.584,0.631,0.869
3,2.711E-5,150.547,49.000,195,0.140,0.018,0.033,0.137,0.014,0.007,0.007,0.008,0.004,131.870,0.318,0.009,0.004,154,-0.838,0.297,100,273243.000,0.137,0.014,123.465,0.006,1.797,0.556,0.777
4,5.400E-5,147.038,21.000,195,0.070,0.022,0.075,0.065,0.016,0.009,0.014,0.012,0.006,115.787,0.122,0.016,0.008,162,-0.906,-0.209,100,531688.000,0.067,0.016,119.186,0.008,2.044,0.489,0.643
5,2.204E-5,156.503,8.000,195,0.136,0.027,0.033,0.131,0.024,0.009,0.006,0.007,0.004,23.739,0.254,0.009,0.003,166,-1.686,3.267,100,230998.000,0.131,0.029,20.647,0.006,1.676,0.597,0.629
6,2.805E-5,185.068,162.000,195,0.420,0.034,0.061,0.415,0.030,0.008,0.008,0.007,0.005,30.879,0.096,0.009,0.005,187,-1.043,-0.199,100,347557.000,0.418,0.038,57.995,0.007,1.261,0.793,0.612
7,6.817E-4,113.552,0.000,195,0.346,0.049,0.349,0.325,0.031,0.037,0.034,0.031,0.028,143.578,0.070,0.037,0.077,144,-0.571,-1.324,100,5183065.002,0.325,0.043,169.277,0.031,1.115,0.897,0.776
8,2.950E-4,98.727,0.000,195,0.260,0.044,0.150,0.250,0.033,0.020,0.022,0.020,0.019,89.654,0.165,0.023,0.029,114,-0.209,-1.566,100,1950155.000,0.256,0.055,68.085,0.019,1.045,0.957,0.857
9,2.403E-5,160.545,62.000,195,0.099,0.037,0.039,0.096,0.034,0.007,0.007,0.007,0.004,69.825,0.201,0.009,0.004,168,-1.083,0.665,100,258317.000,0.096,0.041,48.240,0.006,1.808,0.553,0.629
10,4.815E-5,137.630,0.000,195,0.190,0.043,0.045,0.185,0.038,0.011,0.008,0.010,0.006,6.475,0.293,0.011,0.007,158,-1.199,0.440,100,443720.000,0.185,0.041,152.571,0.008,1.687,0.593,0.765
11,4.881E-5,154.715,92.000,194,0.227,0.050,0.047,0.222,0.046,0.009,0.009,0.009,0.007,38.527,0.273,0.010,0.008,158,-0.210,-1.115,100,505608.998,0.222,0.052,24.034,0.008,1.286,0.778,0.837
12,4.173E-5,142.293,0.000,195,0.114,0.061,0.042,0.110,0.055,0.008,0.009,0.009,0.006,56.425,0.300,0.010,0.006,159,-1.363,1.260,100,397566.000,0.111,0.064,58.921,0.007,1.619,0.618,0.775
13,4.291E-5,149.376,64.000,195,0.174,0.078,0.041,0.169,0.074,0.010,0.007,0.009,0.006,175.423,0.319,0.010,0.006,159,-0.535,-0.809,100,429156.999,0.169,0.077,173.501,0.007,1.432,0.698,0.843
14,4.111E-5,151.093,52.000,195,0.345,0.083,0.041,0.340,0.079,0.009,0.009,0.010,0.005,134.666,0.303,0.010,0.006,157,-0.758,-0.154,100,415960.000,0.340,0.080,147.426,0.006,1.852,0.540,0.830
15,3.929E-5,165.818,109.000,195,0.384,0.092,0.040,0.379,0.088,0.009,0.008,0.008,0.006,152.538,0.302,0.010,0.007,172,-0.488,-0.832,100,436267.000,0.379,0.091,158.459,0.007,1.438,0.695,0.787
16,7.866E-5,119.651,0.000,195,0.179,0.095,0.072,0.172,0.089,0.014,0.012,0.011,0.009,25.531,0.190,0.015,0.009,137,-0.688,-0.746,100,630200.000,0.172,0.098,17.526,0.011,1.278,0.782,0.727
17,4.465E-5,152.121,78.000,195,0.342,0.095,0.041,0.338,0.090,0.009,0.009,0.010,0.006,58.708,0.339,0.011,0.007,157,-0.368,-1.026,100,454840.999,0.338,0.099,49.611,0.007,1.811,0.552,0.825
18,2.708E-5,157.779,99.000,194,0.229,0.103,0.034,0.225,0.099,0.008,0.007,0.008,0.004,33.778,0.292,0.009,0.004,160,-0.327,-0.976,100,286054.000,0.225,0.105,38.418,0.005,1.745,0.573,0.745
19,4.119E-5,136.976,0.000,195,0.221,0.111,0.042,0.215,0.107,0.011,0.007,0.009,0.006,11.687,0.298,0.011,0.006,154,-1.207,0.524,100,377779.000,0.215,0.111,7.289,0.007,1.634,0.612,0.738
20,1.023E-4,170.543,99.000,195,0.013,0.140,0.109,0.004,0.131,0.017,0.017,0.017,0.008,138.329,0.108,0.022,0.017,170,-0.775,0.628,100,1167881.000,0.005,0.131,137.021,0.011,2.231,0.448,0.582
21,2.932E-5,142.479,33.000,195,0.077,0.138,0.025,0.074,0.135,0.006,0.008,0.007,0.005,77.175,0.570,0.008,0.004,146,-0.416,-0.718,100,279687.000,0.077,0.135,93.576,0.006,1.413,0.708,0.878
22,2.696E-5,165.127,110.000,194,0.163,0.145,0.044,0.160,0.140,0.007,0.009,0.008,0.004,112.234,0.175,0.010,0.004,167,-0.410,-0.811,100,298055.000,0.161,0.140,121.701,0.006,1.998,0.501,0.629
23,3.527E-5,165.763,115.000,194,0.317,0.152,0.042,0.314,0.147,0.006,0.011,0.011,0.004,74.477,0.252,0.011,0.006,168,-0.389,-0.886,100,391533.000,0.315,0.158,70.594,0.005,2.893,0.346,0.737
24,2.282E-5,181.225,152.000,195,0.338,0.165,0.040,0.333,0.162,0.008,0.006,0.007,0.004,12.307,0.179,0.009,0.004,182,-0.585,-0.342,100,276912.000,0.333,0.167,26.565,0.005,1.925,0.519,0.669
25,3.073E-5,142.435,33.000,195,0.056,0.171,0.034,0.053,0.167,0.006,0.009,0.009,0.005,119.445,0.335,0.009,0.004,152,-0.735,-0.437,100,293131.000,0.054,0.167,121.849,0.005,1.923,0.520,0.830
26,2.461E-5,187.330,168.000,194,0.495,0.176,0.075,0.492,0.173,0.007,0.008,0.006,0.005,86.024,0.056,0.009,0.005,190,-1.450,0.995,100,308720.000,0.492,0.180,48.888,0.007,1.092,0.916,0.529
27,2.313E-5,158.758,74.000,195,0.233,0.179,0.030,0.230,0.176,0.008,0.005,0.008,0.004,16.266,0.323,0.008,0.004,166,-0.663,-0.474,100,245916.000,0.230,0.180,27.719,0.005,1.944,0.514,0.797
28,2.127E-5,159.147,101.000,193,0.387,0.185,0.026,0.384,0.182,0.006,0.005,0.006,0.005,9.690,0.398,0.006,0.003,163,-0.492,-0.928,100,226625.000,0.384,0.187,15.945,0.005,1.154,0.866,0.873
29,1.429E-4,157.959,46.000,195,0.487,0.192,0.127,0.480,0.183,0.015,0.020,0.018,0.010,68.518,0.111,0.021,0.023,166,-1.088,0.595,100,1511509.000,0.481,0.202,51.751,0.013,1.828,0.547,0.692
30,4.503E-5,146.462,38.000,193,0.206,0.191,0.050,0.200,0.185,0.011,0.011,0.009,0.007,121.800,0.227,0.012,0.007,151,-0.725,-0.066,100,441582.001,0.200,0.190,156.337,0.009,1.310,0.763,0.644
31,2.128E-5,148.259,44.000,195,0.129,0.194,0.032,0.124,0.192,0.009,0.005,0.008,0.003,167.410,0.254,0.009,0.003,155,-0.558,-0.614,100,211269.000,0.124,0.193,168.690,0.005,2.341,0.427,0.706
32,2.207E-5,175.248,116.000,195,0.296,0.199,0.045,0.291,0.194,0.009,0.010,0.009,0.003,135.732,0.134,0.011,0.004,179,-1.038,0.458,100,259016.000,0.294,0.194,108.853,0.005,2.904,0.344,0.493
33,3.616E-5,155.299,45.000,195,0.117,0.198,0.038,0.113,0.194,0.008,0.008,0.007,0.006,2.255,0.318,0.009,0.006,165,-1.210,1.030,100,375979.000,0.113,0.195,150.555,0.007,1.179,0.849,0.766
34,3.132E-5,178.428,150.000,194,0.306,0.200,0.046,0.301,0.195,0.009,0.009,0.010,0.004,133.157,0.184,0.010,0.006,181,-0.376,-0.671,100,374164.000,0.302,0.197,149.036,0.005,2.318,0.431,0.714
35,2.392E-5,168.241,125.000,195,0.321,0.205,0.030,0.317,0.202,0.007,0.006,0.006,0.005,149.283,0.330,0.007,0.004,169,-0.336,-1.023,100,269522.000,0.317,0.204,155.943,0.005,1.239,0.807,0.820
36,6.020E-5,166.927,84.000,195,0.032,0.233,0.110,0.020,0.229,0.026,0.011,0.017,0.004,12.199,0.062,0.027,0.010,171,-1.064,0.754,100,672884.000,0.020,0.239,13.844,0.009,3.902,0.256,0.366
37,3.545E-5,141.987,16.000,194,0.346,0.232,0.036,0.341,0.230,0.009,0.006,0.009,0.005,168.372,0.347,0.010,0.005,153,-0.916,0.010,100,337077.000,0.341,0.231,160.677,0.006,1.722,0.581,0.816
38,9.985E-5,150.559,3.000,195,0.083,0.238,0.087,0.074,0.232,0.019,0.012,0.017,0.007,13.383,0.167,0.019,0.015,162,-1.379,1.696,100,1006640.000,0.074,0.238,1.441,0.010,2.278,0.439,0.633
39,2.945E-5,161.339,96.000,195,0.102,0.239,0.049,0.094,0.236,0.013,0.006,0.010,0.004,165.656,0.156,0.013,0.005,163,-0.499,-0.692,100,318161.000,0.094,0.238,172.614,0.006,2.591,0.386,0.572
40,5.691E-5,108.421,0.000,195,0.036,0.242,0.051,0.030,0.237,0.012,0.009,0.011,0.007,165.859,0.274,0.012,0.006,126,-0.464,-1.238,100,413193.000,0.030,0.241,174.053,0.008,1.573,0.636,0.774
41,1.980E-5,164.899,76.000,195,0.159,0.255,0.030,0.155,0.253,0.009,0.004,0.009,0.003,7.535,0.273,0.009,0.003,171,-0.943,0.366,100,218656.000,0.155,0.257,22.906,0.004,3.136,0.319,0.699
42,3.705E-5,156.135,30.000,195,0.205,0.259,0.059,0.194,0.256,0.017,0.005,0.014,0.003,0.138,0.134,0.018,0.006,167,-1.261,1.267,100,387371.000,0.194,0.257,173.220,0.005,4.015,0.249,0.578
43,2.631E-5,161.486,98.000,195,0.302,0.267,0.027,0.298,0.264,0.008,0.006,0.008,0.004,21.524,0.471,0.008,0.004,163,-0.436,-0.658,100,284538.000,0.298,0.268,20.854,0.005,1.795,0.557,0.856
44,2.745E-5,168.091,118.000,195,0.325,0.275,0.034,0.321,0.271,0.006,0.008,0.008,0.004,63.405,0.306,0.008,0.005,167,-0.387,-0.583,100,308952.000,0.322,0.278,72.387,0.005,1.752,0.571,0.818
45,4.334E-5,175.740,126.000,195,0.450,0.275,0.072,0.444,0.271,0.010,0.009,0.008,0.007,137.547,0.105,0.010,0.008,179,-0.764,-0.500,100,509997.000,0.444,0.273,175.764,0.008,1.167,0.857,0.733
46,4.383E-5,171.311,125.000,195,0.189,0.287,0.067,0.186,0.281,0.006,0.016,0.014,0.004,95.527,0.124,0.016,0.008,173,-0.501,-0.882,100,502798.000,0.188,0.281,98.973,0.006,3.552,0.282,0.643
47,1.115E-4,139.825,0.000,195,0.033,0.289,0.096,0.025,0.284,0.018,0.013,0.015,0.010,15.786,0.152,0.019,0.016,161,-1.103,0.207,100,1044350.000,0.025,0.291,9.462,0.012,1.517,0.659,0.722
48,4.183E-5,191.529,171.000,195,0.434,0.304,0.181,0.428,0.296,0.015,0.013,0.010,0.006,27.136,0.016,0.016,0.008,193,-1.732,2.038,100,536474.000,0.428,0.309,25.594,0.011,1.754,0.570,0.331
49,6.828E-5,147.993,61.000,195,0.135,0.303,0.070,0.127,0.298,0.015,0.011,0.014,0.006,154.928,0.173,0.015,0.010,154,-0.501,-0.850,100,676622.000,0.127,0.301,164.181,0.008,2.200,0.455,0.725
50,1.134E-4,141.261,0.000,195,0.063,0.305,0.132,0.055,0.298,0.020,0.015,0.017,0.008,13.932,0.082,0.021,0.016,155,-0.857,-0.240,100,1072594.000,0.055,0.312,22.469,0.012,2.025,0.494,0.538
51,5.018E-5,130.027,0.000,195,0.184,0.306,0.050,0.179,0.301,0.009,0.012,0.012,0.006,124.741,0.249,0.014,0.007,147,-0.773,-0.430,100,436889.999,0.181,0.301,122.115,0.007,2.074,0.482,0.768
52,2.917E-5,173.634,125.000,195,0.024,0.306,0.060,0.019,0.302,0.010,0.008,0.007,0.005,143.201,0.100,0.010,0.005,180,-0.858,-0.087,100,339107.000,0.019,0.304,166.139,0.007,1.500,0.667,0.605
53,6.199E-5,191.623,170.000,195,0.421,0.313,0.265,0.413,0.303,0.016,0.020,0.014,0.006,45.147,0.011,0.024,0.012,193,-1.882,2.799,100,795426.000,0.415,0.324,59.340,0.010,2.437,0.410,0.348
54,4.591E-5,175.250,122.000,195,0.405,0.313,0.084,0.400,0.308,0.010,0.010,0.008,0.007,159.469,0.083,0.011,0.008,180,-0.964,-0.039,100,538719.000,0.400,0.314,18.225,0.009,1.192,0.839,0.647
55,6.461E-5,143.834,0.000,195,0.080,0.324,0.079,0.077,0.312,0.007,0.019,0.017,0.005,87.824,0.129,0.019,0.009,160,-1.081,0.345,100,622226.000,0.079,0.312,91.459,0.007,3.484,0.287,0.650
56,6.944E-5,132.136,0.000,195,0.142,0.320,0.064,0.137,0.313,0.009,0.014,0.014,0.006,75.540,0.215,0.015,0.009,141,-0.712,-0.240,100,614434.000,0.139,0.327,68.824,0.008,2.192,0.456,0.758
57,8.976E-5,126.728,0.000,195,0.378,0.322,0.092,0.371,0.315,0.015,0.011,0.014,0.008,152.313,0.133,0.016,0.011,157,-0.838,-0.790,100,761635.000,0.372,0.316,155.592,0.010,1.612,0.620,0.759
58,2.027E-5,144.339,3.000,195,0.264,0.334,0.027,0.260,0.332,0.007,0.005,0.007,0.004,1.840,0.344,0.007,0.003,162,-1.010,-0.004,100,195868.000,0.260,0.334,11.497,0.005,1.670,0.599,0.798
59,4.358E-5,190.971,168.000,195,0.354,0.345,0.121,0.348,0.339,0.012,0.011,0.010,0.006,37.272,0.037,0.013,0.008,193,-1.427,0.960,100,557253.000,0.348,0.349,38.012,0.009,1.686,0.593,0.474
60,4.122E-5,174.171,119.000,195,0.295,0.368,0.090,0.289,0.363,0.010,0.010,0.008,0.007,79.626,0.063,0.010,0.007,180,-0.979,-0.011,100,480711.000,0.295,0.373,74.805,0.009,1.169,0.855,0.626
