 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.473E-5,93.632,0,187.000,0.188,0.005,0.035,0.185,0.002,0.007,0.006,0.006,0.005,17.198,0.255,0.007,0.002,109,-0.157,-1.627,100,155054.000,0.185,0.006,9.782,0.006,1.054,0.948,0.790
2,2.033E-5,162.251,73,188.000,0.127,0.007,0.048,0.124,0.003,0.005,0.008,0.007,0.004,73.174,0.113,0.008,0.003,173,-1.144,0.405,100,220824.000,0.126,0.011,87.474,0.005,1.671,0.598,0.663
3,2.564E-5,162.319,108,185.000,0.286,0.010,0.043,0.283,0.006,0.006,0.008,0.007,0.005,90.374,0.176,0.008,0.004,170,-0.767,-0.331,100,278701.000,0.286,0.014,79.046,0.006,1.524,0.656,0.775
4,1.825E-4,162.273,7,188.000,0.109,0.020,0.251,0.098,0.008,0.022,0.026,0.020,0.012,59.064,0.036,0.027,0.030,170,-2.361,6.980,100,1982810.000,0.107,0.033,72.305,0.020,1.721,0.581,0.486
5,8.672E-5,172.970,139,188.000,0.168,0.014,0.095,0.162,0.008,0.013,0.011,0.011,0.010,177.559,0.122,0.013,0.015,174,-0.298,-0.431,100,1004437.000,0.162,0.016,9.819,0.011,1.102,0.908,0.794
6,5.187E-5,165.501,122,187.000,0.334,0.015,0.066,0.329,0.010,0.010,0.011,0.011,0.006,42.109,0.148,0.013,0.009,163,-0.462,-0.739,100,574784.000,0.330,0.021,53.022,0.007,1.881,0.532,0.752
7,2.636E-4,116.991,0,188.000,0.370,0.035,0.281,0.357,0.020,0.022,0.033,0.026,0.013,65.332,0.042,0.037,0.031,148,-0.722,-1.091,100,2065012.016,0.358,0.052,58.874,0.018,1.990,0.503,0.604
8,6.492E-5,167.489,127,186.000,0.333,0.027,0.084,0.327,0.021,0.012,0.011,0.011,0.008,138.554,0.116,0.012,0.011,170,-0.642,-0.026,100,728075.000,0.329,0.021,132.940,0.009,1.431,0.699,0.741
9,2.212E-5,181.761,163,188.000,0.403,0.030,0.131,0.398,0.026,0.011,0.008,0.008,0.004,160.029,0.016,0.012,0.004,181,-0.433,-0.111,100,269188.000,0.398,0.027,159.171,0.007,2.004,0.499,0.361
10,1.409E-4,106.012,0,188.000,0.209,0.055,0.118,0.198,0.047,0.021,0.015,0.018,0.010,28.555,0.128,0.023,0.015,125,-0.520,-1.197,100,1000012.000,0.198,0.060,26.023,0.015,1.840,0.544,0.632
11,5.960E-5,87.040,0,188.000,0.168,0.054,0.052,0.161,0.050,0.013,0.010,0.010,0.007,153.843,0.281,0.013,0.005,100,-0.082,-1.629,100,347378.000,0.161,0.051,172.546,0.009,1.384,0.722,0.731
12,4.380E-5,174.546,144,188.000,0.101,0.055,0.074,0.096,0.050,0.010,0.011,0.011,0.005,132.607,0.099,0.012,0.008,173,-0.401,-0.217,100,511942.000,0.097,0.051,119.673,0.006,2.217,0.451,0.686
13,4.350E-5,164.142,122,185.000,0.410,0.068,0.063,0.405,0.064,0.009,0.008,0.008,0.007,142.231,0.138,0.010,0.007,162,-0.509,-0.620,100,478147.000,0.405,0.067,156.615,0.008,1.275,0.785,0.740
14,1.629E-4,174.329,113,188.000,0.458,0.085,0.361,0.451,0.068,0.017,0.033,0.023,0.009,101.467,0.016,0.033,0.028,177,-1.559,2.522,100,1901405.000,0.456,0.068,90.632,0.016,2.643,0.378,0.450
15,2.785E-5,159.366,70,186.000,0.362,0.089,0.054,0.355,0.086,0.014,0.005,0.012,0.003,177.693,0.119,0.014,0.004,171,-1.285,0.840,100,297217.000,0.355,0.088,0.971,0.004,3.926,0.255,0.571
16,1.077E-4,143.746,1,188.000,0.413,0.095,0.092,0.405,0.087,0.015,0.016,0.016,0.009,62.043,0.161,0.017,0.015,153,-1.185,1.117,100,1036838.000,0.405,0.100,30.198,0.012,1.864,0.536,0.691
17,2.527E-5,165.885,105,187.000,0.006,0.100,0.050,0.002,0.096,0.008,0.007,0.008,0.004,148.372,0.126,0.008,0.004,171,-0.964,0.352,100,280677.000,0.005,0.096,120.256,0.007,1.779,0.562,0.616
18,2.133E-5,112.777,0,186.000,0.300,0.104,0.023,0.296,0.102,0.006,0.005,0.006,0.005,19.373,0.490,0.006,0.002,128,-0.571,-0.862,100,161046.000,0.297,0.105,22.011,0.005,1.204,0.831,0.886
19,5.795E-5,131.468,0,186.000,0.466,0.111,0.061,0.462,0.106,0.008,0.010,0.010,0.008,105.480,0.199,0.012,0.008,149,-0.990,-0.088,100,510096.003,0.463,0.107,120.651,0.008,1.252,0.798,0.798
20,2.125E-5,151.831,99,188.000,0.238,0.112,0.029,0.235,0.108,0.005,0.007,0.007,0.004,114.221,0.319,0.008,0.003,156,-0.138,-1.142,100,216055.000,0.235,0.108,115.741,0.004,1.863,0.537,0.838
21,5.415E-5,134.231,6,188.000,0.388,0.116,0.058,0.385,0.109,0.007,0.015,0.014,0.005,84.559,0.200,0.015,0.007,149,-0.828,-0.408,100,486722.000,0.388,0.109,91.444,0.007,2.653,0.377,0.743
22,1.152E-4,105.509,0,188.000,0.012,0.134,0.098,0.004,0.128,0.015,0.012,0.014,0.011,19.443,0.152,0.016,0.012,133,-0.436,-1.479,100,813683.001,0.004,0.137,32.471,0.012,1.268,0.789,0.833
23,2.531E-5,80.172,0,188.000,0.104,0.133,0.023,0.100,0.131,0.007,0.005,0.007,0.004,152.531,0.599,0.008,0.002,84,0.104,-1.594,100,135891.000,0.100,0.132,159.341,0.005,1.659,0.603,0.904
24,2.061E-5,86.727,0,188.000,0.172,0.138,0.019,0.169,0.136,0.006,0.005,0.006,0.005,15.068,0.722,0.006,0.002,95,0.011,-1.461,100,119683.000,0.169,0.140,27.096,0.005,1.215,0.823,0.922
