 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,2.404E-5,171.835,152,173,0.403,0.014,0.129,0.396,0.009,0.012,0.010,0.009,0.003,140.799,0.018,0.014,0.004,173,-2.766,9.431,100,276655.000,0.396,0.011,144.048,0.005,2.940,0.340,0.390
2,5.789E-5,140.541,59,171,0.323,0.021,0.063,0.319,0.016,0.009,0.010,0.009,0.008,106.551,0.185,0.010,0.008,142,-0.731,-0.392,100,544738.000,0.321,0.016,117.181,0.009,1.126,0.888,0.820
3,1.186E-4,171.495,147,173,0.428,0.035,0.530,0.411,0.020,0.031,0.029,0.027,0.006,140.305,0.005,0.040,0.020,173,-3.146,12.656,100,1361842.000,0.413,0.020,133.886,0.012,4.808,0.208,0.323
4,1.220E-4,171.255,151,173,0.072,0.033,0.470,0.054,0.023,0.034,0.026,0.026,0.006,34.299,0.007,0.040,0.021,173,-2.794,9.291,100,1399323.000,0.054,0.048,35.782,0.011,4.410,0.227,0.336
5,2.183E-5,125.811,0,173,0.133,0.028,0.037,0.130,0.025,0.007,0.006,0.006,0.005,156.129,0.205,0.007,0.003,153,-1.147,-0.032,100,183935.000,0.130,0.028,175.986,0.006,1.143,0.875,0.740
6,5.118E-5,132.616,58,171,0.328,0.039,0.052,0.324,0.034,0.007,0.011,0.010,0.006,93.716,0.237,0.011,0.007,141,-0.590,-0.777,100,454475.000,0.326,0.044,80.754,0.007,1.550,0.645,0.835
7,3.256E-5,138.088,1,173,0.191,0.044,0.047,0.186,0.038,0.009,0.011,0.012,0.003,130.121,0.187,0.013,0.004,152,-1.193,0.684,100,301032.000,0.186,0.038,133.152,0.004,3.603,0.278,0.685
8,3.577E-5,140.539,63,173,0.296,0.041,0.039,0.292,0.038,0.008,0.007,0.007,0.006,170.761,0.296,0.008,0.005,148,-0.642,-0.600,100,336590.000,0.292,0.042,6.911,0.007,1.129,0.886,0.833
9,5.394E-5,160.143,122,170,0.247,0.043,0.086,0.241,0.039,0.012,0.010,0.012,0.006,156.808,0.093,0.013,0.009,164,-1.042,0.182,100,578436.000,0.241,0.041,167.293,0.007,2.021,0.495,0.704
10,6.105E-5,171.363,147,173,0.047,0.050,0.235,0.038,0.042,0.019,0.015,0.014,0.005,40.975,0.014,0.023,0.010,173,-2.756,9.306,100,700532.000,0.038,0.056,35.893,0.009,2.629,0.380,0.427
11,2.192E-5,147.434,83,172,0.382,0.062,0.031,0.378,0.059,0.007,0.005,0.006,0.004,22.184,0.289,0.007,0.003,151,-0.745,-0.379,100,216433.000,0.379,0.064,43.603,0.005,1.458,0.686,0.798
12,5.778E-5,162.228,129,172,0.415,0.065,0.076,0.409,0.061,0.011,0.009,0.010,0.008,20.273,0.126,0.011,0.009,165,-0.728,-0.475,100,627659.000,0.409,0.066,14.184,0.009,1.258,0.795,0.762
13,2.190E-4,154.557,99,173,0.469,0.083,0.271,0.457,0.072,0.023,0.024,0.026,0.011,42.423,0.037,0.030,0.034,158,-0.691,-0.233,100,2266276.000,0.458,0.094,43.497,0.014,2.351,0.425,0.626
14,2.663E-5,171.477,152,173,0.484,0.097,0.129,0.479,0.091,0.009,0.011,0.007,0.005,90.062,0.020,0.012,0.005,173,-2.862,10.109,100,305743.000,0.480,0.103,68.311,0.008,1.404,0.712,0.396
15,2.306E-4,59.686,0,173,0.150,0.120,0.111,0.139,0.111,0.023,0.017,0.020,0.015,9.764,0.235,0.023,0.014,28,0.471,-1.466,100,921667.000,0.140,0.125,14.255,0.017,1.348,0.742,0.817
16,5.100E-5,138.540,59,173,0.026,0.132,0.066,0.021,0.128,0.013,0.008,0.011,0.006,179.272,0.146,0.013,0.007,140,-0.635,-0.072,100,473114.000,0.022,0.136,27.759,0.008,1.787,0.560,0.649
17,2.454E-4,84.923,0,173,0.312,0.144,0.192,0.303,0.131,0.020,0.027,0.022,0.014,110.789,0.084,0.031,0.021,100,-0.159,-1.641,100,1395364.999,0.304,0.131,119.467,0.018,1.606,0.623,0.627
