 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,8.409E-5,156.033,127,164,0.583,0.018,0.281,0.573,0.010,0.021,0.016,0.013,0.008,156.408,0.013,0.021,0.013,154.000,-0.336,0.698,100,279143.000,0.573,0.020,8.881,0.015,1.648,0.607,0.339
2,3.121E-5,153.907,135,157,0.633,0.017,0.100,0.627,0.012,0.012,0.009,0.007,0.005,4.811,0.039,0.012,0.005,156.000,-2.431,6.602,100,102194.000,0.627,0.017,167.471,0.009,1.412,0.708,0.445
3,4.306E-5,155.959,132,164,0.468,0.018,0.120,0.460,0.014,0.017,0.010,0.011,0.005,25.447,0.037,0.018,0.007,154.000,-0.623,0.956,100,142858.000,0.460,0.019,13.360,0.009,2.013,0.497,0.390
4,3.163E-5,157.201,132,164,0.530,0.018,0.131,0.523,0.014,0.014,0.009,0.009,0.005,10.659,0.023,0.015,0.005,154.000,-0.401,-0.217,100,105796.000,0.523,0.021,18.699,0.008,1.904,0.525,0.333
5,3.149E-5,156.343,132,164,0.488,0.021,0.108,0.483,0.014,0.009,0.013,0.009,0.005,90.767,0.034,0.013,0.005,153.000,-0.648,0.314,100,104750.000,0.487,0.027,78.690,0.008,1.903,0.526,0.387
6,1.974E-4,153.862,116,164,0.434,0.026,0.449,0.414,0.015,0.034,0.024,0.025,0.010,164.762,0.012,0.035,0.030,155.000,-1.240,3.973,100,646068.000,0.414,0.021,156.109,0.021,2.472,0.405,0.354
7,6.350E-5,156.775,132,164,0.654,0.029,0.210,0.642,0.021,0.021,0.015,0.014,0.006,161.347,0.018,0.021,0.010,154.000,-0.345,0.369,100,211803.000,0.642,0.030,2.891,0.011,2.431,0.411,0.335
8,1.058E-4,155.352,126,164,0.629,0.032,0.144,0.620,0.023,0.019,0.016,0.015,0.009,29.587,0.064,0.020,0.016,153.000,-0.461,0.540,100,349543.000,0.621,0.038,38.367,0.013,1.681,0.595,0.514
9,1.344E-4,152.838,118,164,0.409,0.042,0.246,0.398,0.034,0.023,0.016,0.017,0.010,20.668,0.028,0.024,0.021,154.000,-0.862,0.994,100,436965.000,0.398,0.045,23.806,0.015,1.731,0.578,0.463
10,2.106E-5,155.734,133,164,0.682,0.039,0.067,0.678,0.034,0.007,0.008,0.006,0.004,63.225,0.059,0.009,0.003,154.000,-0.545,1.505,100,69769.000,0.680,0.042,61.607,0.006,1.499,0.667,0.510
11,2.792E-5,157.027,132,164,0.674,0.041,0.123,0.669,0.034,0.009,0.012,0.008,0.005,119.570,0.023,0.013,0.004,154.000,-0.386,-0.363,100,93274.000,0.671,0.034,112.166,0.009,1.642,0.609,0.365
12,1.965E-5,153.610,115,162,0.664,0.043,0.069,0.660,0.039,0.008,0.008,0.007,0.004,137.248,0.051,0.009,0.003,151.500,-1.493,3.562,100,64209.000,0.660,0.040,153.435,0.006,1.824,0.548,0.439
13,2.223E-5,155.899,141,163,0.695,0.052,0.077,0.690,0.047,0.010,0.009,0.007,0.004,33.818,0.047,0.011,0.003,152.000,-0.220,-1.300,100,73740.000,0.690,0.056,23.051,0.008,1.630,0.614,0.404
