 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,IntDen,Median,Skew,Kurt,%Area,RawIntDen,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1.167E-4,141.818,0.000,188,0.054,0.012,0.131,0.049,4.100E-4,0.011,0.024,0.023,0.007,76.036,0.085,0.025,0.017,152.000,-1.151,1.057,100,1576018.001,0.050,0.024,68.025,0.011,3.412,0.293,0.557
2,2.259E-5,119.972,0.000,188,0.107,0.004,0.027,0.104,5.125E-4,0.005,0.007,0.006,0.005,109.078,0.402,0.007,0.003,133.000,-0.588,-0.830,100,257939.000,0.107,0.007,78.518,0.005,1.249,0.800,0.865
3,5.370E-5,162.020,70.000,188,0.020,0.009,0.083,0.014,0.004,0.013,0.009,0.012,0.006,17.145,0.098,0.014,0.009,169.000,-1.155,0.676,100,828245.000,0.014,0.012,22.687,0.007,2.156,0.464,0.661
4,1.015E-4,158.425,94.000,188,0.324,0.014,0.109,0.318,0.006,0.013,0.018,0.012,0.011,120.916,0.108,0.018,0.016,159.000,-0.503,-0.293,100,1530073.000,0.319,0.006,92.265,0.013,1.159,0.862,0.666
5,2.472E-5,146.918,37.000,188,0.148,0.011,0.034,0.144,0.006,0.007,0.009,0.009,0.004,53.340,0.266,0.010,0.004,160.000,-1.127,0.349,100,345698.000,0.145,0.014,53.489,0.005,2.456,0.407,0.695
6,1.105E-4,124.556,0.000,188,0.187,0.017,0.104,0.180,0.009,0.013,0.017,0.017,0.008,57.929,0.129,0.021,0.014,148.000,-0.924,-0.446,100,1310085.000,0.181,0.026,53.471,0.011,2.095,0.477,0.683
7,2.742E-5,160.605,35.000,188,0.033,0.014,0.058,0.029,0.009,0.008,0.010,0.009,0.004,59.165,0.101,0.010,0.004,175.000,-1.578,1.849,100,419180.000,0.029,0.018,51.780,0.006,2.386,0.419,0.566
8,4.646E-5,112.471,0.000,188,0.153,0.019,0.045,0.148,0.014,0.010,0.009,0.009,0.007,157.069,0.288,0.010,0.005,135.000,-0.584,-1.118,100,497458.000,0.148,0.017,156.879,0.008,1.262,0.793,0.795
9,2.159E-4,105.293,0.000,188,0.160,0.032,0.135,0.150,0.023,0.026,0.020,0.023,0.012,17.464,0.149,0.027,0.023,124.000,-0.463,-1.250,100,2164401.000,0.150,0.041,26.374,0.016,1.849,0.541,0.708
10,6.894E-5,160.164,104.000,188,0.312,0.031,0.083,0.307,0.024,0.010,0.015,0.015,0.006,65.959,0.125,0.016,0.011,163.000,-0.366,-0.932,100,1051155.999,0.310,0.039,68.827,0.008,2.417,0.414,0.708
11,6.224E-5,176.630,145.000,188,0.199,0.035,0.119,0.191,0.026,0.014,0.019,0.020,0.004,59.073,0.055,0.023,0.011,179.000,-0.881,0.055,100,1046532.000,0.192,0.045,53.842,0.007,4.914,0.203,0.565
12,3.907E-5,135.135,22.000,188,0.266,0.033,0.036,0.263,0.028,0.007,0.009,0.008,0.006,93.967,0.386,0.009,0.005,146.000,-0.710,-0.463,100,502568.000,0.264,0.037,81.098,0.007,1.338,0.747,0.901
