Reactor,RPM,Shear,Bin median,Volume Fraction,CVF
o-CTB,200,100,5,0.00538993,0.00538993
o-CTB,200,100,15,0.109714226,0.115104156
o-CTB,200,100,25,0.190004187,0.305108343
o-CTB,200,100,35,0.199049513,0.504157856
o-CTB,200,100,45,0.150586203,0.654744059
o-CTB,200,100,55,0.136026379,0.790770438
o-CTB,200,100,65,0.080265885,0.871036323
o-CTB,200,100,75,0.107766147,0.97880247
o-CTB,200,100,85,0.020674134,0.999476604
o-CTB,200,100,95,0,0.999476604
o-CTB,200,100,105,0,0.999476604
o-CTB,200,100,115,0,0.999476604
o-CTB,200,100,125,0,0.999476604
o-CTB,200,100,135,0,0.999476604
o-CTB,200,100,125,0,0.999476604
o-CTB,200,100,165,0,0.999476604
o-CTB,200,100,205,0,0.999476604
o-CTB,200,100,295,0,0.999476604
o-CTB,100,50,5,0.001949126,0.001949126
o-CTB,100,50,15,0.036315294,0.03826442
o-CTB,100,50,25,0.08441746,0.12268188
o-CTB,100,50,35,0.137241704,0.259923584
o-CTB,100,50,45,0.132553125,0.392476709
o-CTB,100,50,55,0.172070554,0.564547263
o-CTB,100,50,65,0.100858369,0.665405632
o-CTB,100,50,75,0.079432639,0.744838271
o-CTB,100,50,85,0.066162462,0.811000733
o-CTB,100,50,95,0.05460693,0.865607663
o-CTB,100,50,105,0.049058934,0.914666597
o-CTB,100,50,115,0.031495865,0.946162462
o-CTB,100,50,125,0,0.946162462
o-CTB,100,50,135,0.055165916,1.001328378
o-CTB,100,50,165,0,1.001328378
o-CTB,100,50,205,0,1.001328378
o-CTB,100,50,295,0,1.001328378
o-CTB,50,25,5,0.001511567,0.001511567
o-CTB,50,25,15,0.023433476,0.024945043
o-CTB,50,25,25,0.052222339,0.077167382
o-CTB,50,25,35,0.06212708,0.139294462
o-CTB,50,25,45,0.067309746,0.206604208
o-CTB,50,25,55,0.072063226,0.278667434
o-CTB,50,25,65,0.051066681,0.329734115
o-CTB,50,25,75,0.031786873,0.361520988
o-CTB,50,25,85,0.072161625,0.433682613
o-CTB,50,25,95,0.039148958,0.472831571
o-CTB,50,25,105,0.008708259,0.48153983
o-CTB,50,25,115,0.058526117,0.540065947
o-CTB,50,25,125,0.032810635,0.572876582
o-CTB,50,25,135,0.037133885,0.610010467
o-CTB,50,25,165,0.063842772,0.673853239
o-CTB,50,25,205,0.124060505,0.797913744
o-CTB,50,25,295,0.212769811,1.010683555
i-CTB,45,44,25,0.003913043,0.003913043
i-CTB,45,44,35,0.016956522,0.020869565
i-CTB,45,44,45,0.02826087,0.049130435
i-CTB,45,44,55,0.045217391,0.094347826
i-CTB,45,44,65,0.060434783,0.154782609
i-CTB,45,44,75,0.122608696,0.277391305
i-CTB,45,44,85,0.079565217,0.356956522
i-CTB,45,44,95,0.15826087,0.515217392
i-CTB,45,44,105,0.196086957,0.711304349
